arquivo,nCT,cCT,CFOP,dhEmi,tpAmb,modal,xMunIni,UFIni,xMunFim,UFFim,emit_CNPJ,emit_xNome,rem_CNPJ,rem_CPF,rem_xNome,dest_CNPJ,dest_CPF,dest_xNome,vTPrest,vRec,vCarga,proPred,CST,vBC,pICMS,vICMS,placa,UF_veiculo
cte_011.xml,648526,45159192,6354,2026-04-02T00:52:54-03:00,2,01,Rio de Janeiro,RJ,Campinas,SP,14082679000110,CÂMARA CAVALCANTE - EI,86524179000100,,VIEIRA,,45902138698,AYLLA DA MATA,3473.98,3473.98,54093.53,ALIMENTOS,00,4869.05,12.00,584.29,,
cte_012.xml,915268,99440079,6353,2026-04-15T13:30:49-03:00,2,01,Salvador,BA,Salvador,BA,43158079000196,CAMPOS - ME,91270358000190,,NOVAIS S/A,,27609481530,SRA. BRUNA TEIXEIRA,2440.45,2440.45,163260.08,VESTUÁRIO,,,,,,
cte_013.xml,68956,97548905,6360,2026-04-13T21:19:34-03:00,2,01,Curitiba,PR,São Paulo,SP,75132960000104,DA LUZ COSTA S/A,80973456000177,,CAMPOS - EI,,98541302741,CAIO RIOS,1398.81,1398.81,7761.82,AUTOPEÇAS,00,2606.91,12.00,312.83,,
cte_014.xml,908673,49814561,6354,2026-04-25T02:55:36-03:00,2,01,Campinas,SP,Campinas,SP,15972348000118,PORTO S/A,83961057000184,,NUNES,,87346219031,NATÁLIA REZENDE,3134.29,3134.29,169587.45,AUTOPEÇAS,,,,,,
cte_015.xml,111409,08945408,6353,2026-04-23T19:09:12-03:00,2,01,Belo Horizonte,MG,Campinas,SP,28406791000173,CASA GRANDE,65043918000163,,MORAES,,82631047508,NINA ALMEIDA,1005.97,1005.97,118724.94,AUTOPEÇAS,,,,,,
cte_016.xml,971567,30235789,6352,2026-04-18T19:27:13-03:00,2,01,Brasília,DF,Fortaleza,CE,21936574000146,VIANA,29506471000158,,DA MATA - EI,,71435928628,GUSTAVO CUNHA,3394.60,3394.60,6896.89,ELETRODOMÉSTICOS,00,4779.53,12.00,573.54,,
cte_017.xml,535232,25614091,6352,2026-04-10T09:06:06-03:00,2,01,Brasília,DF,São Paulo,SP,45289037000110,RIBEIRO,97604283000112,,ALBUQUERQUE E FILHOS,,31827604590,SOFIA MACHADO,2217.67,2217.67,185068.56,AUTOPEÇAS,,,,,,
cte_018.xml,636945,61574472,6353,2026-04-12T04:23:47-03:00,2,01,Fortaleza,CE,Salvador,BA,61827035000193,TEIXEIRA RAMOS S/A,06985731000110,,PIMENTA,,25078491341,LAÍS SIQUEIRA,4197.35,4197.35,166319.04,VESTUÁRIO,,,,,,
cte_019.xml,551186,38703041,6352,2026-04-14T03:07:11-03:00,2,01,São Paulo,SP,Brasília,DF,21579306000114,MORAES S/A,85379406000180,,FREITAS,,10475863984,CAROLINA DA CONCEIÇÃO,1101.26,1101.26,51885.67,ALIMENTOS,,,,,,
cte_020.xml,785230,16268083,6354,2026-04-15T22:12:05-03:00,2,01,Porto Alegre,RS,Salvador,BA,69835174000170,CARDOSO,45286701000177,,COSTELA,,17408593241,MAYSA PORTO,1466.83,1466.83,44028.81,ELETRODOMÉSTICOS,20,774.55,12.00,92.95,,
cte_021.xml,508286,71441645,6351,2026-04-25T20:41:24-03:00,2,01,Salvador,BA,Belo Horizonte,MG,95807462000121,CASTRO CORREIA E FILHOS,32481570000137,,DA CRUZ CASTRO S.A.,,53791468057,NICOLAS VIEIRA,3641.61,3641.61,159591.97,VESTUÁRIO,60,,,,,
cte_022.xml,458896,88755689,6360,2026-04-19T21:06:13-03:00,2,01,Curitiba,PR,Fortaleza,CE,73692801000139,LOPES,87209615000100,,CARDOSO E FILHOS,,32069158489,ANA BEATRIZ FOGAÇA,3371.80,3371.80,64498.72,ELETRODOMÉSTICOS,,,,,,
cte_023.xml,658461,41890982,6353,2026-04-29T14:38:24-03:00,2,01,Porto Alegre,RS,Rio de Janeiro,RJ,26570398000195,LIMA,27648951000128,,FREITAS,,10465732844,BRENO PORTO,2706.07,2706.07,41763.89,ALIMENTOS,00,4930.58,12.00,591.67,,
cte_024.xml,661733,95866457,6354,2026-04-03T10:57:26-03:00,2,01,Porto Alegre,RS,Porto Alegre,RS,63724105000103,FERNANDES PINTO S/A,15289346000129,,MARQUES DA ROSA - ME,,46308257117,MARIA LIZ DA COSTA,4942.99,4942.99,16132.88,ELETRODOMÉSTICOS,,,,,,
cte_025.xml,926158,87290431,6360,2026-04-20T01:14:35-03:00,2,01,Fortaleza,CE,Fortaleza,CE,68507421000147,GUERRA SIQUEIRA - EI,15380479000106,,RIBEIRO RODRIGUES - EI,,57432908656,BENJAMIN FERREIRA,2735.43,2735.43,150242.88,VESTUÁRIO,20,4331.61,12.00,519.79,,
cte_026.xml,101009,70914117,6353,2026-04-08T02:33:45-03:00,2,01,Porto Alegre,RS,Salvador,BA,69075382000119,PACHECO CAMPOS S/A,48796503000141,,BARROS,,02785643992,SR. THEO MARQUES,2349.03,2349.03,151677.44,MEDICAMENTOS,,,,,,
cte_027.xml,83538,86947806,6351,2026-04-19T13:06:52-03:00,2,01,Belo Horizonte,MG,Brasília,DF,43782916000153,AZEVEDO,93526087000116,,DA ROSA - ME,,26937514891,BELLA CUNHA,945.11,945.11,35994.59,ELETRODOMÉSTICOS,,,,,,
cte_028.xml,58929,56007280,6351,2026-04-07T14:00:25-03:00,2,01,Campinas,SP,Campinas,SP,71249835000128,MARQUES LTDA.,25048763000133,,BORGES,,75349216864,MARIA CLARA SIQUEIRA,1230.43,1230.43,184019.31,ALIMENTOS,,,,,,
cte_029.xml,907371,31719373,6352,2026-04-16T02:38:00-03:00,2,01,Salvador,BA,Belo Horizonte,MG,27905843000193,LEÃO,83690254000106,,PIMENTA,,97134865282,SRA. ANA LÍVIA SIQUEIRA,1797.22,1797.22,163824.47,VESTUÁRIO,20,1555.69,12.00,186.68,,
cte_030.xml,534366,24887090,6351,2026-03-31T14:21:40-03:00,2,01,Brasília,DF,Fortaleza,CE,34651809000103,CORREIA,54089172000102,,MONTEIRO,,40913857297,HELOISA GARCIA,1615.13,1615.13,14205.14,ALIMENTOS,,,,,,
cte_031.xml,901917,95860441,6354,2026-04-10T18:46:49-03:00,2,01,Salvador,BA,Campinas,SP,69140238000119,RIOS MOURA S.A.,98167420000161,,FOGAÇA,,49625013725,SR. PEDRO MIGUEL ALBUQUERQUE,1227.46,1227.46,50611.59,ELETRODOMÉSTICOS,,,,,,
cte_032.xml,756419,22633544,6353,2026-04-14T02:53:34-03:00,2,01,Fortaleza,CE,Curitiba,PR,14057869000187,VIEIRA,57608419000148,,RIBEIRO SÁ LTDA.,,31450962734,RAVI NUNES,1564.49,1564.49,99923.49,MEDICAMENTOS,00,671.86,12.00,80.62,,
cte_033.xml,372041,29171888,6354,2026-04-22T01:29:06-03:00,2,01,Salvador,BA,Rio de Janeiro,RJ,23045891000106,CAMPOS,43250691000194,,MACHADO S/A,,24937180541,NOAH SILVA,1898.98,1898.98,38289.01,MEDICAMENTOS,,,,,,
cte_034.xml,162360,94761874,6351,2026-04-01T15:13:58-03:00,2,01,São Paulo,SP,Fortaleza,CE,56278910000195,COSTELA,02163875000130,,CASSIANO LTDA.,,18635092406,ÁGATHA SOUSA,1289.45,1289.45,63572.52,AUTOPEÇAS,,,,,,
cte_035.xml,133905,48601634,6354,2026-04-19T15:34:09-03:00,2,01,Brasília,DF,Rio de Janeiro,RJ,75930421000110,MOREIRA,81530492000129,,PINTO,,09328517621,BENICIO RODRIGUES,3207.37,3207.37,91231.90,ALIMENTOS,,,,,,
cte_036.xml,709783,19685360,6351,2026-04-16T15:42:48-03:00,2,01,São Paulo,SP,Fortaleza,CE,17509824000194,DA CONCEIÇÃO RAMOS LTDA.,85201946000179,,BORGES FERNANDES S/A,,23195670895,JOÃO PEDRO DAS NEVES,2388.47,2388.47,194196.33,ELETRODOMÉSTICOS,,,,,,
cte_037.xml,415249,36371175,6352,2026-04-05T08:42:01-03:00,2,01,Porto Alegre,RS,Salvador,BA,87596102000108,PEIXOTO - EI,36821057000107,,DA PAZ,,32654910806,DR. MIGUEL MACEDO,3724.32,3724.32,163150.21,AUTOPEÇAS,,,,,,
cte_038.xml,485700,62975452,6360,2026-04-18T12:00:25-03:00,2,01,São Paulo,SP,Curitiba,PR,02964851000180,PEREIRA S/A,59284160000152,,VIEIRA,,70642538107,PEDRO ALMEIDA,772.72,772.72,120637.85,ELETRODOMÉSTICOS,00,530.59,12.00,63.67,,
cte_039.xml,301554,20291982,6351,2026-04-04T11:38:12-03:00,2,01,Brasília,DF,Campinas,SP,58240639000124,DIAS,95168073000101,,VASCONCELOS S.A.,,26059471811,ELISA GONÇALVES,3918.30,3918.30,106120.37,VESTUÁRIO,,,,,,
cte_040.xml,959871,29943873,6354,2026-04-24T10:58:19-03:00,2,01,São Paulo,SP,Belo Horizonte,MG,15967308000188,CARDOSO,07249136000189,,MONTEIRO - ME,,81670325407,VALENTIM RIBEIRO,2143.51,2143.51,120006.70,ALIMENTOS,60,,,,,
cte_041.xml,466940,84798960,6360,2026-04-02T12:25:10-03:00,2,01,São Paulo,SP,São Paulo,SP,34928150000181,PORTO,15749680000118,,BARBOSA,,86302154707,LUIZ HENRIQUE PORTO,3783.38,3783.38,11123.26,ALIMENTOS,,,,,,
cte_042.xml,671579,72067377,6353,2026-04-07T04:08:16-03:00,2,01,Curitiba,PR,Brasília,DF,64875329000189,LIMA BARBOSA LTDA.,47690532000161,,FERNANDES,,12458967337,ANA LAURA FERNANDES,3331.00,3331.00,169285.34,ALIMENTOS,,,,,,
cte_043.xml,627494,98510575,6360,2026-04-07T23:04:35-03:00,2,01,Salvador,BA,Curitiba,PR,97526410000102,PACHECO,03456928000173,,MACHADO,,09326781496,CLARICE RAMOS,3424.57,3424.57,80116.65,VESTUÁRIO,00,2611.16,12.00,313.34,,
cte_044.xml,243443,76759924,6351,2026-04-07T04:40:05-03:00,2,01,Salvador,BA,São Paulo,SP,79045623000130,PACHECO,64810975000168,,CALDEIRA,,49861027530,DR. PEDRO MIGUEL FARIAS,5134.30,5134.30,13787.77,AUTOPEÇAS,,,,,,
cte_045.xml,522282,96573773,6353,2026-04-19T12:49:01-03:00,2,01,Campinas,SP,Fortaleza,CE,39075241000135,DA ROSA,61295730000151,,MOURA,,97561432828,DAVI LUCCA DA COSTA,4316.32,4316.32,8393.68,VESTUÁRIO,00,3228.47,12.00,387.42,,
cte_046.xml,314445,30667553,6352,2026-04-19T15:51:30-03:00,2,01,Belo Horizonte,MG,Curitiba,PR,65738140000107,DAS NEVES,12045638000128,,DA CONCEIÇÃO,,14783905657,ELOAH MOREIRA,2145.61,2145.61,9973.15,VESTUÁRIO,,,,,,
cte_047.xml,517850,89850177,6354,2026-04-08T09:15:24-03:00,2,01,Rio de Janeiro,RJ,Salvador,BA,97538142000149,CORREIA,31974065000161,,NUNES MOREIRA E FILHOS,,42305798610,LUCAS GABRIEL ALVES,1394.00,1394.00,144386.40,VESTUÁRIO,,,,,,
cte_048.xml,23727,93899675,6354,2026-04-15T06:51:35-03:00,2,01,Fortaleza,CE,São Paulo,SP,71605943000196,FOGAÇA DA CUNHA E FILHOS,63528074000115,,BARROS PORTO LTDA.,,07695483184,SARA PACHECO,1078.27,1078.27,190044.04,MEDICAMENTOS,,,,,,
cte_049.xml,928418,63300987,6351,2026-03-31T18:49:24-03:00,2,01,Salvador,BA,Salvador,BA,56837192000140,ABREU,51734890000104,,PIMENTA,,79260834104,DRA. OLIVIA OLIVEIRA,3443.08,3443.08,180781.71,ALIMENTOS,,,,,,
cte_050.xml,485814,70194545,6354,2026-04-23T16:14:45-03:00,2,01,Salvador,BA,Porto Alegre,RS,48531097000195,FONSECA S.A.,26807415000165,,NUNES PEREIRA S.A.,,06213985786,THALES SOUSA,4407.05,4407.05,48994.36,MEDICAMENTOS,,,,,,
cte_051.xml,528793,42395831,6354,2026-04-05T04:14:29-03:00,2,01,Brasília,DF,Brasília,DF,58739246000160,DA ROSA E FILHOS,28397504000106,,MONTEIRO,,53408672180,ANTHONY CUNHA,3062.58,3062.58,71858.88,AUTOPEÇAS,,,,,,
cte_052.xml,960951,99382239,6354,2026-04-06T10:17:08-03:00,2,01,Curitiba,PR,Campinas,SP,72916304000104,CARDOSO S.A.,20974815000189,,FERNANDES LTDA.,,23768145964,DR. LEVI CORREIA,3039.34,3039.34,54726.55,MEDICAMENTOS,,,,,,
cte_053.xml,235460,74868419,6353,2026-04-03T14:29:51-03:00,2,01,Belo Horizonte,MG,Salvador,BA,59380671000178,NOVAIS,52641830000100,,SANTOS - EI,,82647901350,YASMIN PIMENTA,4804.76,4804.76,170481.50,VESTUÁRIO,,,,,,
cte_054.xml,775458,53050198,6360,2026-04-09T13:29:57-03:00,2,01,Curitiba,PR,Fortaleza,CE,90581734000102,ABREU - ME,90857243000133,,ARAÚJO - ME,,15964827020,THEODORO LOPES,528.82,528.82,140891.19,VESTUÁRIO,,,,,,
cte_055.xml,495842,03852515,6360,2026-03-30T22:13:23-03:00,2,01,Porto Alegre,RS,São Paulo,SP,73502489000173,CIRINO,31287954000150,,REZENDE MONTENEGRO - EI,,03654721826,BENTO SÁ,1218.52,1218.52,67680.60,ALIMENTOS,,,,,,
cte_056.xml,199620,15028947,6352,2026-04-15T11:12:29-03:00,2,01,Salvador,BA,São Paulo,SP,92461837000156,MELO,97628314000175,,CAMPOS CASA GRANDE E FILHOS,,95276013470,SR. PAULO JESUS,4128.69,4128.69,106354.80,ALIMENTOS,00,4323.78,12.00,518.85,,
cte_057.xml,920465,36006970,6353,2026-04-19T10:20:34-03:00,2,01,Curitiba,PR,Porto Alegre,RS,96847132000122,PORTO AZEVEDO E FILHOS,45761208000161,,MENDONÇA S.A.,,34718629519,DRA. ISABELLA DAS NEVES,3899.12,3899.12,53687.84,VESTUÁRIO,60,,,,,
cte_058.xml,257936,53123854,6360,2026-04-09T07:20:13-03:00,2,01,Fortaleza,CE,Curitiba,PR,05736289000125,MONTENEGRO RAMOS S.A.,14285390000106,,MARTINS,,56310724916,YURI CALDEIRA,1619.62,1619.62,63552.74,ALIMENTOS,60,,,,,
cte_059.xml,21836,27751036,6353,2026-04-11T20:27:32-03:00,2,01,Rio de Janeiro,RJ,Rio de Janeiro,RJ,54183607000183,SILVA CASSIANO - EI,96018432000107,,DA CUNHA E FILHOS,,89061237521,JOSÉ PIRES,4002.25,4002.25,108223.30,ELETRODOMÉSTICOS,,,,,,
cte_060.xml,681814,42820138,6352,2026-04-07T22:17:05-03:00,2,01,São Paulo,SP,Rio de Janeiro,RJ,96435028000120,NUNES,53741628000104,,MORAES E FILHOS,,98517246020,CECÍLIA FERREIRA,4533.10,4533.10,109813.35,ELETRODOMÉSTICOS,,,,,,
cte_061.xml,89424,71474653,6360,2026-04-22T14:42:44-03:00,2,01,Brasília,DF,Belo Horizonte,MG,76318520000109,FERREIRA,47028361000100,,DA CONCEIÇÃO,,58372146071,THÉO ANDRADE,3816.08,3816.08,140591.50,ELETRODOMÉSTICOS,20,4338.75,12.00,520.65,,
cte_062.xml,697702,61836173,6354,2026-04-15T12:03:24-03:00,2,01,Porto Alegre,RS,Rio de Janeiro,RJ,84697513000193,MARQUES,37102956000104,,CÂMARA,,62301857921,DAVI LUCCA PIRES,1801.38,1801.38,116033.34,ELETRODOMÉSTICOS,,,,,,
cte_063.xml,739761,88747009,6354,2026-04-10T08:10:53-03:00,2,01,Brasília,DF,Salvador,BA,67328109000123,CALDEIRA,38751940000195,,ANDRADE,,30715862480,RAEL DA CONCEIÇÃO,1099.17,1099.17,23901.60,AUTOPEÇAS,00,507.32,12.00,60.88,,
cte_064.xml,610403,64067721,6351,2026-04-05T06:43:43-03:00,2,01,Salvador,BA,Belo Horizonte,MG,67234159000141,DA LUZ,56740392000180,,GOMES E FILHOS,,72458916058,BÁRBARA CALDEIRA,3712.42,3712.42,46776.92,ELETRODOMÉSTICOS,60,,,,,
cte_065.xml,147020,47313828,6360,2026-04-17T20:48:05-03:00,2,01,São Paulo,SP,Rio de Janeiro,RJ,60491375000123,SAMPAIO E FILHOS,94307162000110,,FARIAS,,10389726478,DANILO DA PAZ,3433.10,3433.10,38169.83,AUTOPEÇAS,60,,,,,
cte_066.xml,708104,32198450,6360,2026-04-05T02:17:56-03:00,2,01,Rio de Janeiro,RJ,Brasília,DF,74352601000108,GONÇALVES S/A,29680543000189,,DA ROSA LTDA.,,62958371077,DIEGO MONTEIRO,4544.08,4544.08,87413.09,MEDICAMENTOS,00,4886.20,12.00,586.34,,
cte_067.xml,949792,47548141,6353,2026-04-09T13:37:09-03:00,2,01,Rio de Janeiro,RJ,Rio de Janeiro,RJ,60134957000152,CAMPOS,40326197000178,,SILVEIRA,,70591638401,MATHEUS SOUSA,787.07,787.07,52824.98,AUTOPEÇAS,20,4502.22,12.00,540.27,,
cte_068.xml,600867,89045143,6353,2026-04-20T03:12:21-03:00,2,01,Campinas,SP,Fortaleza,CE,31028467000173,FONSECA BRITO S.A.,20578164000108,,LIMA DA MOTA S.A.,,68231059415,YASMIN NUNES,2906.64,2906.64,64766.29,ELETRODOMÉSTICOS,,,,,,
cte_069.xml,238442,21009227,6354,2026-04-14T07:50:41-03:00,2,01,Curitiba,PR,Porto Alegre,RS,82064971000160,SALES ANDRADE S/A,59612487000106,,MORAES - EI,,06259371802,JOSÉ PEDRO CÂMARA,4624.30,4624.30,173850.83,ALIMENTOS,00,1115.96,12.00,133.92,,
cte_070.xml,673630,05088191,6360,2026-04-11T00:27:58-03:00,2,01,Rio de Janeiro,RJ,Salvador,BA,71284936000130,VIANA S.A.,61240937000129,,LEÃO S.A.,,63045982700,RAQUEL CÂMARA,4844.50,4844.50,97796.16,ELETRODOMÉSTICOS,,,,,,
cte_071.xml,919741,13578293,6354,2026-04-24T04:04:12-03:00,2,01,Brasília,DF,Brasília,DF,05973816000115,SALES,53289604000166,,CARDOSO NOVAES S/A,,16035749801,SRA. CAROLINE PASTOR,5126.36,5126.36,125432.28,MEDICAMENTOS,,,,,,
cte_072.xml,453356,02100732,6352,2026-04-03T13:23:37-03:00,2,01,Porto Alegre,RS,Fortaleza,CE,62138509000152,CARVALHO,86753412000118,,FERNANDES S/A,,42197805649,BENICIO MOURA,1217.48,1217.48,93585.90,AUTOPEÇAS,,,,,,
cte_073.xml,703612,37074450,6352,2026-04-05T18:17:11-03:00,2,01,Rio de Janeiro,RJ,Fortaleza,CE,98706412000146,LEÃO CARVALHO S.A.,05849736000152,,SILVA LOPES - EI,,18439702604,EVELYN FARIAS,2098.85,2098.85,63566.74,AUTOPEÇAS,,,,,,
cte_074.xml,789748,69625588,6353,2026-04-04T09:25:26-03:00,2,01,Curitiba,PR,Campinas,SP,29350618000163,DA LUZ ABREU E FILHOS,49862135000155,,BRITO REZENDE S.A.,,63715294043,LUÍSA PACHECO,4243.53,4243.53,45630.02,MEDICAMENTOS,20,3605.39,12.00,432.65,,
cte_075.xml,541071,83532554,6354,2026-04-18T02:28:22-03:00,2,01,Brasília,DF,Porto Alegre,RS,04923587000161,DA CONCEIÇÃO - EI,59378416000190,,TEIXEIRA DA COSTA LTDA.,,01657489230,SR. NOAH PINTO,2034.37,2034.37,160486.42,VESTUÁRIO,,,,,,
cte_076.xml,241340,15397941,6351,2026-04-19T18:57:09-03:00,2,01,São Paulo,SP,Belo Horizonte,MG,51729460000196,MARTINS,80769431000156,,DA ROSA - EI,,83620751471,HELENA CAVALCANTE,2411.60,2411.60,156078.61,ALIMENTOS,00,4221.85,12.00,506.62,,
cte_077.xml,878672,54846741,6354,2026-04-18T15:25:56-03:00,2,01,Brasília,DF,Rio de Janeiro,RJ,56418072000108,DAS NEVES E FILHOS,74201369000107,,DUARTE,,70835216462,ANTONELLA RIBEIRO,829.68,829.68,51894.20,ALIMENTOS,60,,,,,
cte_078.xml,247368,91941621,6360,2026-04-23T13:53:38-03:00,2,01,Campinas,SP,Porto Alegre,RS,31682940000131,GONÇALVES,61453920000150,,SILVEIRA LTDA.,,40851639224,LUCCA VIEIRA,549.46,549.46,68867.36,ELETRODOMÉSTICOS,20,4833.92,12.00,580.07,,
cte_079.xml,924604,34367806,6352,2026-04-11T01:28:21-03:00,2,01,Fortaleza,CE,Belo Horizonte,MG,07245168000106,VIANA S.A.,35029841000106,,PINTO,,17506394839,DR. CALEB MOURA,662.07,662.07,16478.24,VESTUÁRIO,,,,,,
cte_080.xml,482587,11656414,6353,2026-04-08T17:10:17-03:00,2,01,Porto Alegre,RS,Porto Alegre,RS,12906853000176,FERNANDES E FILHOS,26149875000143,,FERREIRA,,64589230151,SRTA. MARIA HELENA MACEDO,1629.05,1629.05,81544.41,MEDICAMENTOS,,,,,,
cte_081.xml,328338,19303672,6351,2026-04-27T03:13:51-03:00,2,01,Curitiba,PR,Brasília,DF,60794351000143,JESUS,86435702000113,,CARVALHO - ME,,68041293506,DRA. STEPHANY NOGUEIRA,627.61,627.61,98862.44,ELETRODOMÉSTICOS,,,,,,
cte_082.xml,712936,76872693,6352,2026-04-22T21:52:30-03:00,2,01,Salvador,BA,Campinas,SP,32487690000141,CORREIA,80425936000101,,LOPES,,41209685370,MARIA ALICE DA COSTA,683.84,683.84,108238.43,ALIMENTOS,,,,,,
cte_083.xml,859027,74571763,6354,2026-04-02T05:38:11-03:00,2,01,Fortaleza,CE,Campinas,SP,16457802000165,DA LUZ FONSECA - EI,12683970000118,,MENDES S/A,,28976351002,MATTEO DA ROCHA,2837.40,2837.40,99965.65,AUTOPEÇAS,,,,,,
cte_084.xml,809541,39337480,6351,2026-04-01T17:38:04-03:00,2,01,Campinas,SP,São Paulo,SP,54609873000125,ALMEIDA MONTENEGRO - ME,41507623000132,,CÂMARA E FILHOS,,62394170506,SR. VALENTIM VIEIRA,2956.06,2956.06,30455.38,VESTUÁRIO,,,,,,
cte_085.xml,434663,83297282,6360,2026-04-20T08:57:42-03:00,2,01,Rio de Janeiro,RJ,Fortaleza,CE,21960358000136,SALES,20816975000108,,BARROS - EI,,27093516416,LUIZA ROCHA,3085.21,3085.21,33657.37,VESTUÁRIO,20,2648.04,12.00,317.76,,
cte_086.xml,816563,22599585,6360,2026-04-23T08:41:18-03:00,2,01,Belo Horizonte,MG,Curitiba,PR,56034728000199,PACHECO S.A.,14237809000146,,PINTO,,06253974106,YAGO SÁ,1013.33,1013.33,68782.41,ALIMENTOS,,,,,,
cte_087.xml,726473,68097600,6352,2026-04-25T04:28:23-03:00,2,01,Curitiba,PR,Belo Horizonte,MG,60574918000176,DA CONCEIÇÃO CORREIA LTDA.,56023478000191,,RIOS,,89542013698,NINA CUNHA,4169.04,4169.04,9668.29,MEDICAMENTOS,,,,,,
cte_088.xml,147962,68439226,6354,2026-04-04T02:38:02-03:00,2,01,Curitiba,PR,Belo Horizonte,MG,48092153000132,DA ROCHA LTDA.,02783459000134,,DA CUNHA,,94312760543,MELINA MARQUES,1238.83,1238.83,115353.35,MEDICAMENTOS,00,1392.96,12.00,167.16,,
cte_089.xml,393056,00083697,6351,2026-04-01T00:00:16-03:00,2,01,Fortaleza,CE,Salvador,BA,82653497000101,CÂMARA CAVALCANTE S.A.,24987163000178,,GOMES SOUZA LTDA.,,92683514719,DANIEL SALES,1037.21,1037.21,101669.53,VESTUÁRIO,,,,,,
cte_090.xml,962380,57248356,6351,2026-03-31T14:13:10-03:00,2,01,Porto Alegre,RS,Fortaleza,CE,23875401000190,NOVAIS,58097432000142,,ALBUQUERQUE,,79435102670,MANUELLA ALBUQUERQUE,1133.45,1133.45,133348.32,VESTUÁRIO,,,,,,
cte_091.xml,845301,59140548,6351,2026-04-13T17:04:55-03:00,2,01,Porto Alegre,RS,Fortaleza,CE,04586319000100,APARECIDA LTDA.,90713286000145,,LIMA - ME,,28104537997,HENRY GABRIEL RIBEIRO,2540.08,2540.08,28314.38,ELETRODOMÉSTICOS,,,,,,
cte_092.xml,743078,93402903,6351,2026-04-08T12:00:49-03:00,2,01,Rio de Janeiro,RJ,Rio de Janeiro,RJ,54810379000124,PORTO,57891023000150,,CAMARGO NOVAIS - ME,,52798431646,ANA BEATRIZ TEIXEIRA,1128.62,1128.62,166385.49,VESTUÁRIO,20,903.26,12.00,108.39,,
cte_093.xml,993403,04534773,6354,2026-04-19T23:34:05-03:00,2,01,Curitiba,PR,São Paulo,SP,62741359000177,PEIXOTO,67820594000158,,VIANA,,56980143700,CECILIA COSTA,2096.48,2096.48,109493.62,ELETRODOMÉSTICOS,,,,,,
